pair,arm,ns,items,status,pct
1,A,843846,268435456,0,1.9
1,B,837607,268435456,0,1.9
2,A,848662,268435456,0,1.9
2,B,834408,268435456,0,1.8
3,A,854851,268435456,0,1.9
3,B,848407,268435456,0,1.9
4,A,849238,268435456,0,1.9
4,B,836022,268435456,0,1.9
5,A,843127,268435456,0,1.9
5,B,850872,268435456,0,1.9
6,A,866043,268435456,0,1.8
6,B,833283,268435456,0,1.9
7,A,839311,268435456,0,1.8
7,B,849723,268435456,0,1.9
8,A,843059,268435456,0,1.8
8,B,849950,268435456,0,1.9
9,A,832890,268435456,0,1.8
9,B,842762,268435456,0,1.9
10,A,849275,268435456,0,1.9
10,B,836346,268435456,0,1.8
11,A,849121,268435456,0,1.9
11,B,852584,268435456,0,1.9
12,A,843117,268435456,0,1.9
12,B,982638,268435456,0,2.2
13,A,847077,268435456,0,1.9
13,B,838551,268435456,0,1.9
14,A,840648,268435456,0,1.9
14,B,854562,268435456,0,1.8
15,A,839749,268435456,0,1.8
15,B,844412,268435456,0,1.8
16,A,854401,268435456,0,1.9
16,B,846294,268435456,0,1.9
17,A,851418,268435456,0,1.9
17,B,838752,268435456,0,1.8
18,A,911720,268435456,0,1.8
18,B,848115,268435456,0,1.9
19,A,840161,268435456,0,1.8
19,B,838295,268435456,0,1.8
20,A,837902,268435456,0,1.9
20,B,841029,268435456,0,1.9
21,A,842341,268435456,0,1.9
21,B,843399,268435456,0,1.9
22,A,838267,268435456,0,1.8
22,B,839114,268435456,0,1.9
23,A,839194,268435456,0,1.8
23,B,853482,268435456,0,1.9
24,A,832728,268435456,0,1.9
24,B,844825,268435456,0,1.9
25,A,834703,268435456,0,1.8
25,B,840296,268435456,0,1.9
26,A,856062,268435456,0,1.9
26,B,866909,268435456,0,1.9
27,A,854324,268435456,0,1.9
27,B,877769,268435456,0,1.9
28,A,843903,268435456,0,1.9
28,B,848624,268435456,0,1.9
29,A,848558,268435456,0,1.9
29,B,869273,268435456,0,1.9
30,A,832971,268435456,0,1.9
30,B,864909,268435456,0,1.9
31,A,844249,268435456,0,1.9
31,B,975527,268435456,0,2.1
