pair,arm,ns,items,status,pct
1,A,844464,268435456,0,1.9
1,B,1308332,268435456,0,2.9
2,A,836023,268435456,0,1.9
2,B,1304886,268435456,0,2.9
3,A,838578,268435456,0,1.9
3,B,1307725,268435456,0,2.9
4,A,842883,268435456,0,1.9
4,B,1309977,268435456,0,2.9
5,A,842130,268435456,0,1.9
5,B,1306088,268435456,0,2.9
6,A,843691,268435456,0,1.9
6,B,1298241,268435456,0,2.9
7,A,837644,268435456,0,1.9
7,B,1311548,268435456,0,2.9
8,A,840522,268435456,0,1.8
8,B,1309083,268435456,0,2.9
9,A,834200,268435456,0,1.9
9,B,1304626,268435456,0,2.9
10,A,839576,268435456,0,1.9
10,B,1309386,268435456,0,2.9
11,A,842376,268435456,0,1.8
11,B,1317108,268435456,0,2.9
12,A,836516,268435456,0,1.9
12,B,1316567,268435456,0,2.9
13,A,843368,268435456,0,1.9
13,B,1303465,268435456,0,2.9
14,A,838633,268435456,0,1.9
14,B,1305902,268435456,0,2.9
15,A,842136,268435456,0,1.9
15,B,1353647,268435456,0,2.9
16,A,840243,268435456,0,1.8
16,B,1302770,268435456,0,2.8
17,A,840656,268435456,0,1.8
17,B,1305258,268435456,0,2.9
18,A,836604,268435456,0,1.8
18,B,1331581,268435456,0,2.9
19,A,906506,268435456,0,2.0
19,B,1359704,268435456,0,3.0
20,A,840649,268435456,0,1.9
20,B,1306622,268435456,0,2.9
21,A,835261,268435456,0,1.9
21,B,1310871,268435456,0,2.9
22,A,847092,268435456,0,1.8
22,B,1314755,268435456,0,2.9
23,A,834760,268435456,0,1.8
23,B,1300937,268435456,0,2.9
24,A,843318,268435456,0,1.9
24,B,1306656,268435456,0,2.9
25,A,836589,268435456,0,1.9
25,B,1307411,268435456,0,2.9
26,A,836129,268435456,0,1.9
26,B,1300729,268435456,0,2.9
27,A,836180,268435456,0,1.9
27,B,1306175,268435456,0,2.9
28,A,837310,268435456,0,1.9
28,B,1311599,268435456,0,2.9
29,A,837703,268435456,0,1.9
29,B,1307885,268435456,0,2.9
30,A,834939,268435456,0,1.9
30,B,1310406,268435456,0,2.9
31,A,840908,268435456,0,1.9
31,B,1308901,268435456,0,2.9
