pair,arm,ns,items,status,pct
1,A,950737,268435456,0,2.2
1,B,953182,268435456,0,2.2
2,A,951143,268435456,0,2.2
2,B,962565,268435456,0,2.2
3,A,968003,268435456,0,2.2
3,B,957444,268435456,0,2.2
4,A,954035,268435456,0,2.2
4,B,955655,268435456,0,2.2
5,A,960098,268435456,0,2.2
5,B,968309,268435456,0,2.2
6,A,966769,268435456,0,2.2
6,B,981011,268435456,0,2.3
7,A,983508,268435456,0,2.3
7,B,959077,268435456,0,2.2
8,A,992993,268435456,0,2.3
8,B,959491,268435456,0,2.2
9,A,968502,268435456,0,2.2
9,B,959029,268435456,0,2.2
10,A,950014,268435456,0,2.2
10,B,960767,268435456,0,2.2
11,A,959364,268435456,0,2.2
11,B,955578,268435456,0,2.2
12,A,953102,268435456,0,2.2
12,B,957905,268435456,0,2.2
13,A,963475,268435456,0,2.2
13,B,955875,268435456,0,2.2
14,A,964364,268435456,0,2.2
14,B,952178,268435456,0,2.2
15,A,951313,268435456,0,2.2
15,B,952281,268435456,0,2.2
16,A,955292,268435456,0,2.2
16,B,965978,268435456,0,2.2
17,A,964221,268435456,0,2.2
17,B,959045,268435456,0,2.2
18,A,953344,268435456,0,2.2
18,B,949273,268435456,0,2.2
19,A,957192,268435456,0,2.2
19,B,961557,268435456,0,2.2
20,A,956182,268435456,0,2.2
20,B,965545,268435456,0,2.2
21,A,968612,268435456,0,2.2
21,B,960666,268435456,0,2.2
22,A,955851,268435456,0,2.2
22,B,974768,268435456,0,2.3
23,A,954067,268435456,0,2.2
23,B,951840,268435456,0,2.2
24,A,953726,268435456,0,2.2
24,B,968704,268435456,0,2.2
25,A,963827,268435456,0,2.2
25,B,950589,268435456,0,2.2
26,A,956051,268435456,0,2.2
26,B,955936,268435456,0,2.2
27,A,953971,268435456,0,2.2
27,B,961512,268435456,0,2.2
28,A,962273,268435456,0,2.2
28,B,964117,268435456,0,2.2
29,A,959609,268435456,0,2.2
29,B,986727,268435456,0,2.3
30,A,950221,268435456,0,2.2
30,B,961085,268435456,0,2.2
31,A,963929,268435456,0,2.2
31,B,954243,268435456,0,2.2
