pair,arm,ns,items,status,pct
1,A,963314,268435456,0,2.2
1,B,1183864,268435456,0,2.7
2,A,956224,268435456,0,2.2
2,B,1196276,268435456,0,2.8
3,A,954540,268435456,0,2.2
3,B,1192958,268435456,0,2.7
4,A,952115,268435456,0,2.2
4,B,1192854,268435456,0,2.7
5,A,958399,268435456,0,2.2
5,B,1195831,268435456,0,2.8
6,A,951683,268435456,0,2.2
6,B,1194365,268435456,0,2.8
7,A,957572,268435456,0,2.2
7,B,1187030,268435456,0,2.7
8,A,956590,268435456,0,2.2
8,B,1191281,268435456,0,2.7
9,A,954462,268435456,0,2.2
9,B,1197681,268435456,0,2.7
10,A,979264,268435456,0,2.3
10,B,1188684,268435456,0,2.7
11,A,956373,268435456,0,2.2
11,B,1201579,268435456,0,2.8
12,A,966201,268435456,0,2.2
12,B,1187331,268435456,0,2.7
13,A,960060,268435456,0,2.2
13,B,1201830,268435456,0,2.7
14,A,953217,268435456,0,2.2
14,B,1193897,268435456,0,2.7
15,A,977515,268435456,0,2.3
15,B,1192821,268435456,0,2.7
16,A,967354,268435456,0,2.2
16,B,1268800,268435456,0,2.8
17,A,950737,268435456,0,2.2
17,B,1192115,268435456,0,2.7
18,A,954318,268435456,0,2.2
18,B,1196035,268435456,0,2.8
19,A,1027698,268435456,0,2.3
19,B,1194622,268435456,0,2.7
20,A,954316,268435456,0,2.2
20,B,1190927,268435456,0,2.8
21,A,950662,268435456,0,2.2
21,B,1205365,268435456,0,2.8
22,A,950804,268435456,0,2.2
22,B,1192805,268435456,0,2.8
23,A,955242,268435456,0,2.2
23,B,1200588,268435456,0,2.7
24,A,958750,268435456,0,2.2
24,B,1196903,268435456,0,2.8
25,A,956366,268435456,0,2.2
25,B,1188612,268435456,0,2.8
26,A,956997,268435456,0,2.2
26,B,1193969,268435456,0,2.7
27,A,963481,268435456,0,2.2
27,B,1189033,268435456,0,2.7
28,A,959829,268435456,0,2.2
28,B,1208927,268435456,0,2.7
29,A,954734,268435456,0,2.2
29,B,1196944,268435456,0,2.8
30,A,958715,268435456,0,2.2
30,B,1204472,268435456,0,2.8
31,A,956254,268435456,0,2.2
31,B,1229989,268435456,0,2.8
