pair,arm,ns,items,status,pct
1,A,996928,268435456,0,4.9
1,B,2184327,268435456,0,10.1
2,A,770730,268435456,0,3.8
2,B,2167513,268435456,0,10.1
3,A,748502,268435456,0,3.7
3,B,2159053,268435456,0,10.0
4,A,742494,268435456,0,3.7
4,B,2169745,268435456,0,10.0
5,A,763662,268435456,0,3.8
5,B,2187569,268435456,0,10.1
6,A,753610,268435456,0,3.7
6,B,2180255,268435456,0,10.2
7,A,759072,268435456,0,3.8
7,B,2174561,268435456,0,10.2
8,A,735977,268435456,0,3.7
8,B,2153247,268435456,0,10.1
9,A,995032,268435456,0,4.9
9,B,2183213,268435456,0,10.1
10,A,991558,268435456,0,4.8
10,B,2171489,268435456,0,10.1
11,A,751492,268435456,0,3.7
11,B,2166413,268435456,0,10.0
12,A,745331,268435456,0,3.7
12,B,2168012,268435456,0,10.0
13,A,744667,268435456,0,3.7
13,B,2157242,268435456,0,10.0
14,A,776754,268435456,0,3.8
14,B,2222799,268435456,0,10.0
15,A,982541,268435456,0,4.8
15,B,2171974,268435456,0,10.1
16,A,753650,268435456,0,3.7
16,B,2162377,268435456,0,10.0
17,A,779484,268435456,0,3.8
17,B,2161004,268435456,0,10.0
18,A,788929,268435456,0,3.9
18,B,2160516,268435456,0,10.0
19,A,749932,268435456,0,3.7
19,B,2154570,268435456,0,9.9
20,A,751971,268435456,0,3.7
20,B,2183825,268435456,0,9.9
21,A,763532,268435456,0,3.7
21,B,2161129,268435456,0,10.0
22,A,1004791,268435456,0,4.9
22,B,2192666,268435456,0,10.1
23,A,1013543,268435456,0,4.9
23,B,2187997,268435456,0,10.1
24,A,767856,268435456,0,3.8
24,B,2184075,268435456,0,10.1
25,A,757974,268435456,0,3.7
25,B,2163607,268435456,0,10.0
26,A,753547,268435456,0,3.7
26,B,2161320,268435456,0,10.0
27,A,761065,268435456,0,3.8
27,B,2214525,268435456,0,10.0
28,A,751420,268435456,0,3.7
28,B,2202433,268435456,0,10.0
29,A,916080,268435456,0,4.5
29,B,2186866,268435456,0,10.0
30,A,746942,268435456,0,3.7
30,B,2149873,268435456,0,10.0
31,A,747758,268435456,0,3.7
31,B,2173148,268435456,0,10.1
