pair,arm,ns,items,status,pct
1,A,4275082,268435456,0,9.2
1,B,4264668,268435456,0,9.3
2,A,4283964,268435456,0,9.2
2,B,4291209,268435456,0,9.2
3,A,4267915,268435456,0,9.2
3,B,4269910,268435456,0,9.2
4,A,4297982,268435456,0,9.3
4,B,4259489,268435456,0,9.3
5,A,4253481,268435456,0,9.3
5,B,4306776,268435456,0,9.3
6,A,4259484,268435456,0,9.3
6,B,4253722,268435456,0,9.3
7,A,4271799,268435456,0,9.3
7,B,4275190,268435456,0,9.3
8,A,4308257,268435456,0,9.2
8,B,4295274,268435456,0,9.3
9,A,4284407,268435456,0,9.3
9,B,4288877,268435456,0,9.3
10,A,4279963,268435456,0,9.3
10,B,4292046,268435456,0,9.3
11,A,4276332,268435456,0,9.3
11,B,4246804,268435456,0,9.2
12,A,4271056,268435456,0,9.3
12,B,4281173,268435456,0,9.3
13,A,4287007,268435456,0,9.3
13,B,4264217,268435456,0,9.2
14,A,4272950,268435456,0,9.3
14,B,4249008,268435456,0,9.2
15,A,4271569,268435456,0,9.2
15,B,4258770,268435456,0,9.2
16,A,4254217,268435456,0,9.2
16,B,4301169,268435456,0,9.3
17,A,4280195,268435456,0,9.3
17,B,4283528,268435456,0,9.3
18,A,4278039,268435456,0,9.3
18,B,4263470,268435456,0,9.3
19,A,4269329,268435456,0,9.2
19,B,4286273,268435456,0,9.3
20,A,4295004,268435456,0,9.3
20,B,4266187,268435456,0,9.3
21,A,4277265,268435456,0,9.3
21,B,4264156,268435456,0,9.3
22,A,4271982,268435456,0,9.3
22,B,4284372,268435456,0,9.3
23,A,4258994,268435456,0,9.3
23,B,4270829,268435456,0,9.3
24,A,4274127,268435456,0,9.3
24,B,4278244,268435456,0,9.3
25,A,4271193,268435456,0,9.3
25,B,4288860,268435456,0,9.2
26,A,4257714,268435456,0,9.2
26,B,4283668,268435456,0,9.3
27,A,4272274,268435456,0,9.3
27,B,4291350,268435456,0,9.3
28,A,4262289,268435456,0,9.2
28,B,4299684,268435456,0,9.2
29,A,4274692,268435456,0,9.3
29,B,4274714,268435456,0,9.2
30,A,4264049,268435456,0,9.3
30,B,4268851,268435456,0,9.3
31,A,4264939,268435456,0,9.3
31,B,4257476,268435456,0,9.2
