pair,arm,ns,items,status,pct
1,A,4807999,268435456,0,19.8
1,B,4771047,268435456,0,19.6
2,A,4770487,268435456,0,19.7
2,B,4788497,268435456,0,19.7
3,A,4792867,268435456,0,19.8
3,B,4792666,268435456,0,19.7
4,A,4774903,268435456,0,19.8
4,B,4793135,268435456,0,19.9
5,A,4777653,268435456,0,19.8
5,B,4807237,268435456,0,19.8
6,A,4793077,268435456,0,19.8
6,B,4811086,268435456,0,20.0
7,A,4774945,268435456,0,19.8
7,B,4938284,268435456,0,19.9
8,A,4768575,268435456,0,19.6
8,B,4816538,268435456,0,19.9
9,A,4797049,268435456,0,19.7
9,B,4806564,268435456,0,19.6
10,A,4782079,268435456,0,19.7
10,B,4796785,268435456,0,19.7
11,A,4871995,268435456,0,19.8
11,B,4814261,268435456,0,19.7
12,A,4779233,268435456,0,19.7
12,B,4779533,268435456,0,19.8
13,A,4784684,268435456,0,19.7
13,B,4787890,268435456,0,19.7
14,A,4773150,268435456,0,19.8
14,B,4794817,268435456,0,19.6
15,A,4786824,268435456,0,19.4
15,B,4781448,268435456,0,19.7
16,A,4805693,268435456,0,19.6
16,B,4777418,268435456,0,19.6
17,A,4777696,268435456,0,19.7
17,B,4791586,268435456,0,19.7
18,A,4790191,268435456,0,19.6
18,B,4848000,268435456,0,19.3
19,A,4804466,268435456,0,19.7
19,B,4802810,268435456,0,19.7
20,A,4803761,268435456,0,19.7
20,B,4788863,268435456,0,19.6
21,A,4784048,268435456,0,19.5
21,B,4854053,268435456,0,19.7
22,A,4844128,268435456,0,19.5
22,B,4789942,268435456,0,19.7
23,A,4789213,268435456,0,19.8
23,B,4781522,268435456,0,19.2
24,A,4800272,268435456,0,19.8
24,B,4821815,268435456,0,19.8
25,A,4796872,268435456,0,19.7
25,B,4782811,268435456,0,19.6
26,A,4846071,268435456,0,19.7
26,B,4808175,268435456,0,19.7
27,A,4813745,268435456,0,19.8
27,B,4785211,268435456,0,19.7
28,A,4826692,268435456,0,19.7
28,B,4785150,268435456,0,19.7
29,A,4824728,268435456,0,19.6
29,B,4792469,268435456,0,19.7
30,A,4822861,268435456,0,19.5
30,B,4790405,268435456,0,19.7
31,A,4815152,268435456,0,19.6
31,B,4848808,268435456,0,19.7
