pair,arm,ns,items,status,pct
1,A,4801104,268435456,0,19.8
1,B,2938988,268435456,0,13.1
2,A,4810453,268435456,0,19.8
2,B,2950358,268435456,0,13.1
3,A,4784123,268435456,0,19.7
3,B,2945509,268435456,0,13.2
4,A,4815301,268435456,0,19.9
4,B,2956999,268435456,0,13.3
5,A,4792521,268435456,0,19.8
5,B,2941089,268435456,0,13.2
6,A,4815919,268435456,0,20.0
6,B,2945525,268435456,0,13.3
7,A,4812151,268435456,0,19.8
7,B,2968660,268435456,0,13.4
8,A,4796886,268435456,0,19.8
8,B,2928761,268435456,0,13.1
9,A,4804025,268435456,0,19.9
9,B,2930095,268435456,0,13.0
10,A,4767116,268435456,0,19.7
10,B,2921688,268435456,0,13.1
11,A,4771850,268435456,0,19.5
11,B,2928827,268435456,0,13.1
12,A,4794490,268435456,0,19.6
12,B,2925981,268435456,0,13.0
13,A,4787786,268435456,0,19.6
13,B,2929221,268435456,0,13.1
14,A,4824959,268435456,0,19.9
14,B,2999071,268435456,0,13.1
15,A,4788153,268435456,0,19.7
15,B,2918583,268435456,0,13.1
16,A,4772330,268435456,0,19.7
16,B,2960092,268435456,0,13.1
17,A,4866207,268435456,0,19.9
17,B,2957888,268435456,0,13.2
18,A,4804622,268435456,0,19.8
18,B,2948695,268435456,0,13.1
19,A,4800805,268435456,0,19.8
19,B,2944965,268435456,0,13.1
20,A,4805567,268435456,0,19.7
20,B,2922360,268435456,0,13.0
21,A,4784264,268435456,0,19.8
21,B,2929775,268435456,0,13.0
22,A,4794545,268435456,0,19.6
22,B,2992148,268435456,0,12.8
23,A,4798535,268435456,0,19.7
23,B,2945598,268435456,0,13.2
24,A,4781837,268435456,0,19.7
24,B,2952973,268435456,0,13.1
25,A,4807286,268435456,0,19.7
25,B,2914918,268435456,0,13.1
26,A,4795315,268435456,0,19.7
26,B,2931573,268435456,0,13.0
27,A,4776607,268435456,0,19.7
27,B,2918056,268435456,0,13.1
28,A,4795189,268435456,0,19.7
28,B,2932432,268435456,0,13.1
29,A,4795718,268435456,0,19.7
29,B,2948167,268435456,0,13.2
30,A,4826332,268435456,0,19.9
30,B,2940879,268435456,0,13.1
31,A,4797200,268435456,0,19.8
31,B,2923599,268435456,0,13.1
