pair,arm,deposit_ns,pipeline_ns,wall_ns
1,A,108484540,275105199,298317458
1,B,109672010,286542457,309779875
2,A,108547713,274116695,297894375
2,B,109260008,291689970,314557041
3,A,108991053,278341770,302479667
3,B,109277156,275785520,298886209
4,A,108861926,274576276,297418416
4,B,109951331,276522608,299864083
5,A,109641127,291988729,315111792
5,B,108644035,276752333,300308291
6,A,109074238,275920424,299601041
6,B,109058924,276498132,299541667
7,A,108565730,274603960,297838334
7,B,109883364,277988077,300989459
8,A,109300016,285529644,308769375
8,B,110426233,277664443,303296208
9,A,109019793,275550296,299230750
9,B,109627619,275662367,299100583
10,A,109289766,276069737,299058083
10,B,109014283,274480014,297929291
11,A,109200981,275895757,299206250
11,B,109385482,280240087,303379666
12,A,109513980,300349195,323726792
12,B,109821328,276806476,300192917
13,A,108996964,275236578,298950000
13,B,109079694,275172544,298633916
14,A,109684938,277376142,300720042
14,B,109714466,275809580,299623167
15,A,108641128,274206480,297459125
15,B,109933628,290187943,313475916
16,A,109432220,275957524,299434209
16,B,109076860,280184343,302972166
17,A,109244655,277723062,300858209
17,B,108943544,275074157,298122084
18,A,109117728,275410643,298839208
18,B,108970400,275976686,299369375
19,A,109579392,287956075,311358917
19,B,108997941,275340756,298852959
20,A,109605992,281921178,305838500
20,B,109415123,284066242,307188417
21,A,109400523,279403719,303271750
21,B,115012807,289575173,313726916
22,A,111292941,296327391,319525708
22,B,109760910,276287593,300348041
23,A,108501069,279957970,303184375
23,B,109582149,279772532,303612458
24,A,109013352,275862346,299106000
24,B,109146663,275066908,298430125
25,A,108598300,274400377,297566875
25,B,109338884,275733235,298889250
26,A,108864195,274086535,297384458
26,B,111334457,289463437,313079208
27,A,109666722,281255084,304412458
27,B,109008629,280208385,303395750
28,A,109948165,288922180,312349000
28,B,109096201,275382375,299307542
29,A,109024565,278665006,302096125
29,B,109614223,286001492,310117583
30,A,109527359,277650301,301364708
30,B,109015688,277283173,300867458
31,A,109330128,276732399,300291667
31,B,110543680,277554123,300947250
