pair,arm,ns,items,status,pct
1,A,298317458,1,0,39.3000
1,B,309779875,1,0,38.3000
2,A,297894375,1,0,39.8000
2,B,314557041,1,0,37.4000
3,A,302479667,1,0,39.3000
3,B,298886209,1,0,39.5000
4,A,297418416,1,0,39.7000
4,B,299864083,1,0,39.6000
5,A,315111792,1,0,37.5000
5,B,300308291,1,0,39.3000
6,A,299601041,1,0,39.4000
6,B,299541667,1,0,39.4000
7,A,297838334,1,0,39.5000
7,B,300989459,1,0,39.5000
8,A,308769375,1,0,38.3000
8,B,303296208,1,0,39.7000
9,A,299230750,1,0,39.6000
9,B,299100583,1,0,39.7000
10,A,299058083,1,0,39.5000
10,B,297929291,1,0,39.7000
11,A,299206250,1,0,39.5000
11,B,303379666,1,0,39.0000
12,A,323726792,1,0,36.5000
12,B,300192917,1,0,39.6000
13,A,298950000,1,0,39.4000
13,B,298633916,1,0,39.6000
14,A,300720042,1,0,39.5000
14,B,299623167,1,0,39.7000
15,A,297459125,1,0,39.8000
15,B,313475916,1,0,37.9000
16,A,299434209,1,0,39.8000
16,B,302972166,1,0,38.9000
17,A,300858209,1,0,39.3000
17,B,298122084,1,0,39.5000
18,A,298839208,1,0,39.6000
18,B,299369375,1,0,39.4000
19,A,311358917,1,0,38.1000
19,B,298852959,1,0,39.5000
20,A,305838500,1,0,38.9000
20,B,307188417,1,0,38.4000
21,A,303271750,1,0,39.3000
21,B,313726916,1,0,39.7000
22,A,319525708,1,0,37.6000
22,B,300348041,1,0,39.8000
23,A,303184375,1,0,38.8000
23,B,303612458,1,0,39.1000
24,A,299106000,1,0,39.5000
24,B,298430125,1,0,39.5000
25,A,297566875,1,0,39.4000
25,B,298889250,1,0,39.6000
26,A,297384458,1,0,39.9000
26,B,313079208,1,0,38.4000
27,A,304412458,1,0,39.0000
27,B,303395750,1,0,38.9000
28,A,312349000,1,0,38.2000
28,B,299307542,1,0,39.5000
29,A,302096125,1,0,39.2000
29,B,310117583,1,0,38.3000
30,A,301364708,1,0,39.4000
30,B,300867458,1,0,39.4000
31,A,300291667,1,0,39.4000
31,B,300947250,1,0,39.7000
