pair,arm,deposit_ns,pipeline_ns,wall_ns
1,A,109240688,276453615,299832958
1,B,106852174,278720458,302054584
2,A,109454619,278011221,311548125
2,B,106755878,274025292,297804417
3,A,109389410,276808452,300188042
3,B,106986985,275941442,300212416
4,A,109524976,277721627,301417750
4,B,106509346,273150549,297268000
5,A,110465184,278688399,302181084
5,B,107265373,274753464,298598584
6,A,109055095,275480261,298599083
6,B,106852425,274876992,297922083
7,A,109242221,275935734,299288625
7,B,106193099,275328590,298889250
8,A,109913794,278137041,301325208
8,B,106259325,272931409,296251666
9,A,110014595,276643761,300113167
9,B,107166398,286251675,309909625
10,A,110021609,277717687,301511125
10,B,106505085,273288829,296427000
11,A,111291508,290980799,314428750
11,B,106974557,278743059,302799291
12,A,110402642,279326600,302986042
12,B,107082181,275307697,299102834
13,A,110396038,278715316,317989417
13,B,107095477,275557022,299223834
14,A,111473917,289488662,313149083
14,B,107037915,274859493,297891417
15,A,109815711,279147870,302692542
15,B,108601583,290918322,314704917
16,A,109361463,277252739,301216542
16,B,108090806,283077972,306315167
17,A,110286148,277498588,300841708
17,B,107151981,274850726,299104625
18,A,110009408,277491130,300967125
18,B,106626886,284571916,308064875
19,A,109938473,277387976,301106291
19,B,107319410,276007661,299488458
20,A,111261095,281089246,304889958
20,B,106853375,274796358,298275208
21,A,112016814,283113072,307354208
21,B,107458291,283648223,307257875
22,A,111280153,280223985,304222917
22,B,108591633,278129707,301643375
23,A,111633759,280262938,303992583
23,B,107696876,276707548,300842750
24,A,110278929,278914289,302346750
24,B,107641415,275996601,299714042
25,A,110969978,287517204,311379375
25,B,107208453,275671117,299429834
26,A,110238359,278021804,301396208
26,B,107232834,275679467,299666792
27,A,110079033,280816403,304491375
27,B,107997618,278436091,302061000
28,A,111278801,291575293,315960292
28,B,107495295,276344687,300594208
29,A,110825991,284207663,307953250
29,B,108006309,277369434,301016500
30,A,110156485,278800386,302782333
30,B,108210362,277038990,301004667
31,A,110454750,279425321,303409959
31,B,107382655,275649391,299554541
