pair,arm,ns,items,status,pct
1,A,109240688,1,0,39.4000
1,B,106852174,1,0,38.2000
2,A,109454619,1,0,39.3000
2,B,106755878,1,0,39.1000
3,A,109389410,1,0,39.4000
3,B,106986985,1,0,38.7000
4,A,109524976,1,0,39.3000
4,B,106509346,1,0,39.0000
5,A,110465184,1,0,39.6000
5,B,107265373,1,0,39.1000
6,A,109055095,1,0,39.4000
6,B,106852425,1,0,38.8000
7,A,109242221,1,0,39.4000
7,B,106193099,1,0,38.6000
8,A,109913794,1,0,39.4000
8,B,106259325,1,0,38.8000
9,A,110014595,1,0,39.9000
9,B,107166398,1,0,37.6000
10,A,110021609,1,0,39.6000
10,B,106505085,1,0,39.1000
11,A,111291508,1,0,38.3000
11,B,106974557,1,0,38.3000
12,A,110402642,1,0,39.4000
12,B,107082181,1,0,38.9000
13,A,110396038,1,0,39.5000
13,B,107095477,1,0,38.9000
14,A,111473917,1,0,38.4000
14,B,107037915,1,0,39.0000
15,A,109815711,1,0,39.3000
15,B,108601583,1,0,37.4000
16,A,109361463,1,0,39.4000
16,B,108090806,1,0,38.0000
17,A,110286148,1,0,39.7000
17,B,107151981,1,0,39.1000
18,A,110009408,1,0,39.7000
18,B,106626886,1,0,37.6000
19,A,109938473,1,0,39.5000
19,B,107319410,1,0,38.9000
20,A,111261095,1,0,39.5000
20,B,106853375,1,0,39.0000
21,A,112016814,1,0,39.5000
21,B,107458291,1,0,37.8000
22,A,111280153,1,0,39.6000
22,B,108591633,1,0,39.0000
23,A,111633759,1,0,39.8000
23,B,107696876,1,0,39.0000
24,A,110278929,1,0,39.5000
24,B,107641415,1,0,39.0000
25,A,110969978,1,0,38.6000
25,B,107208453,1,0,39.0000
26,A,110238359,1,0,39.8000
26,B,107232834,1,0,38.8000
27,A,110079033,1,0,39.3000
27,B,107997618,1,0,38.7000
28,A,111278801,1,0,38.3000
28,B,107495295,1,0,38.9000
29,A,110825991,1,0,39.0000
29,B,108006309,1,0,39.0000
30,A,110156485,1,0,39.4000
30,B,108210362,1,0,39.0000
31,A,110454750,1,0,39.4000
31,B,107382655,1,0,39.0000
