pair,arm,ns,items,status,pct
1,A,111194673,1,0,39.5000
1,B,111705538,1,0,38.3000
2,A,112222227,1,0,39.6000
2,B,111645958,1,0,39.3000
3,A,111239691,1,0,39.8000
3,B,113103990,1,0,39.7000
4,A,110510790,1,0,39.4000
4,B,112000197,1,0,39.3000
5,A,111119674,1,0,39.4000
5,B,111209543,1,0,39.5000
6,A,110485453,1,0,39.5000
6,B,111757964,1,0,39.5000
7,A,110975315,1,0,39.4000
7,B,111431931,1,0,38.4000
8,A,110948551,1,0,39.4000
8,B,110911351,1,0,39.3000
9,A,113089828,1,0,39.4000
9,B,110757555,1,0,39.4000
10,A,111509104,1,0,38.9000
10,B,110625770,1,0,39.4000
11,A,111453293,1,0,39.4000
11,B,111667939,1,0,39.7000
12,A,111423684,1,0,39.6000
12,B,111984196,1,0,39.8000
13,A,111579922,1,0,39.7000
13,B,112170326,1,0,39.7000
14,A,112431452,1,0,38.1000
14,B,111941025,1,0,39.8000
15,A,110518678,1,0,38.9000
15,B,111894412,1,0,39.4000
16,A,110973940,1,0,39.5000
16,B,112469214,1,0,39.6000
17,A,113157053,1,0,39.4000
17,B,111244568,1,0,39.5000
18,A,109919292,1,0,39.8000
18,B,111427734,1,0,39.9000
19,A,110727048,1,0,39.8000
19,B,110676752,1,0,38.5000
20,A,111676762,1,0,39.6000
20,B,110547919,1,0,39.7000
21,A,112242611,1,0,36.7000
21,B,111452445,1,0,39.7000
22,A,111431676,1,0,39.8000
22,B,112806064,1,0,39.8000
23,A,112100273,1,0,38.1000
23,B,111217025,1,0,38.9000
24,A,110434508,1,0,39.5000
24,B,111309983,1,0,39.6000
25,A,111161153,1,0,39.9000
25,B,110910525,1,0,39.6000
26,A,111410144,1,0,38.3000
26,B,111164899,1,0,39.9000
27,A,113070807,1,0,38.9000
27,B,110380387,1,0,39.7000
28,A,111153581,1,0,39.7000
28,B,111104380,1,0,38.9000
29,A,112400794,1,0,39.7000
29,B,110583252,1,0,39.5000
30,A,111527371,1,0,39.4000
30,B,111784426,1,0,37.8000
31,A,111113045,1,0,39.8000
31,B,110964098,1,0,39.6000
