pair,arm,ns,items,status,pct
1,A,309468625,1,0,39.3000
1,B,370106291,1,0,50.7000
2,A,303319042,1,0,39.8000
2,B,370494458,1,0,50.6000
3,A,303955667,1,0,39.8000
3,B,368783958,1,0,50.9000
4,A,314477583,1,0,38.3000
4,B,367686334,1,0,50.6000
5,A,309456708,1,0,38.9000
5,B,369689625,1,0,50.6000
6,A,304084708,1,0,39.6000
6,B,368389791,1,0,50.9000
7,A,342796208,1,0,35.1000
7,B,370049209,1,0,50.6000
8,A,319570333,1,0,38.1000
8,B,369377125,1,0,50.6000
9,A,302812084,1,0,39.6000
9,B,367838500,1,0,50.6000
10,A,303972375,1,0,39.8000
10,B,367666833,1,0,50.6000
11,A,303472375,1,0,39.8000
11,B,369408625,1,0,50.8000
12,A,323644334,1,0,37.4000
12,B,380365459,1,0,49.3000
13,A,304892708,1,0,39.8000
13,B,384441417,1,0,49.9000
14,A,304710625,1,0,39.7000
14,B,370139250,1,0,50.7000
15,A,302605375,1,0,39.8000
15,B,369983042,1,0,50.6000
16,A,305021333,1,0,39.8000
16,B,369111208,1,0,50.6000
17,A,305233250,1,0,39.8000
17,B,369599250,1,0,50.6000
18,A,321537000,1,0,37.7000
18,B,370989708,1,0,50.3000
19,A,303447583,1,0,39.8000
19,B,369874666,1,0,50.5000
20,A,306123875,1,0,39.8000
20,B,378591167,1,0,49.4000
21,A,316297542,1,0,38.4000
21,B,374211000,1,0,50.4000
22,A,305866541,1,0,39.6000
22,B,370128667,1,0,50.5000
23,A,307614917,1,0,39.9000
23,B,369261417,1,0,50.7000
24,A,306815875,1,0,39.7000
24,B,368283334,1,0,50.6000
25,A,315510042,1,0,38.4000
25,B,377515792,1,0,50.0000
26,A,314440625,1,0,38.5000
26,B,370613125,1,0,50.6000
27,A,304751417,1,0,39.6000
27,B,369740750,1,0,50.6000
28,A,305494125,1,0,39.3000
28,B,381169166,1,0,49.4000
29,A,315464834,1,0,38.3000
29,B,380725417,1,0,49.0000
30,A,306081666,1,0,39.8000
30,B,375674375,1,0,50.4000
31,A,304978959,1,0,39.7000
31,B,381260042,1,0,49.2000
