pair,order,t_native_ms,t_other_ms,ratio_b_over_a
0,AB,4789.680,4788.792,0.999815
1,BA,4815.384,4803.826,0.997600
2,AB,4756.694,4769.317,1.002654
3,BA,4786.116,4792.237,1.001279
4,AB,4798.481,4798.138,0.999929
5,BA,4866.941,4768.284,0.979729
6,AB,4771.877,4766.751,0.998926
7,BA,4815.630,4780.263,0.992656
8,AB,4805.473,4802.589,0.999400
9,BA,4767.099,4775.689,1.001802
10,AB,4773.533,4772.092,0.999698
11,BA,4775.302,4784.238,1.001871
12,AB,4771.091,4768.133,0.999380
13,BA,4776.174,4772.430,0.999216
14,AB,4806.980,4769.391,0.992180
15,BA,4780.678,4775.999,0.999021
16,AB,4772.405,4786.328,1.002917
17,BA,4784.042,4809.443,1.005310
18,AB,4783.730,4809.227,1.005330
19,BA,4776.768,4781.313,1.000952
20,AB,4791.141,4777.999,0.997257
21,BA,4770.618,4774.643,1.000844
22,AB,4774.722,4770.783,0.999175
23,BA,4758.627,4757.390,0.999740
24,AB,4741.736,4762.302,1.004337
25,BA,4749.509,4776.621,1.005708
26,AB,4802.335,4794.715,0.998413
27,BA,4754.477,4761.030,1.001378
28,AB,4825.155,4742.007,0.982768
29,BA,4770.119,4765.559,0.999044
30,AB,4775.261,4758.855,0.996564
