pair,order,t_native_ms,t_other_ms,ratio_b_over_a
0,AB,4752.398,4817.686,1.013738
1,BA,4742.081,4832.257,1.019016
2,AB,4738.094,4831.482,1.019710
3,BA,4746.088,4884.430,1.029149
4,AB,4741.885,4836.378,1.019927
5,BA,4729.910,4819.623,1.018967
6,AB,4771.270,4840.520,1.014514
7,BA,4736.652,4812.229,1.015956
8,AB,4732.769,4825.109,1.019511
9,BA,4740.799,4861.253,1.025408
10,AB,4733.093,4888.913,1.032921
11,BA,4730.616,4833.221,1.021689
12,AB,4735.743,4822.807,1.018385
13,BA,4721.669,4811.026,1.018925
14,AB,4897.214,4978.815,1.016663
15,BA,4785.069,4875.587,1.018917
16,AB,4754.414,4839.312,1.017857
17,BA,4759.790,4851.838,1.019339
18,AB,4747.478,4884.266,1.028813
19,BA,4744.917,4847.909,1.021706
20,AB,4750.163,4829.997,1.016806
21,BA,4787.269,4846.694,1.012413
22,AB,4751.596,4927.251,1.036968
23,BA,4786.090,4834.626,1.010141
24,AB,4752.734,4855.502,1.021623
25,BA,4737.141,4847.724,1.023344
26,AB,4741.110,4843.220,1.021537
27,BA,4740.629,4847.589,1.022563
28,AB,4769.741,4837.595,1.014226
29,BA,4751.789,4846.167,1.019861
30,AB,4740.160,4824.581,1.017810
